Primary Category,Secondary Category,Tertiary Category,Tags Explanation
Individual Income Tax,Individual Tax Payer,Taxpayer Voluntary Disclosure for Errors,"IRAS understands that some taxpayers may occasionally make errors in their tax returns due to lack of care or awareness of their tax obligations. The IRAS Voluntary Disclosure Programme (VDP) encourages taxpayers who have made errors in their tax returns to come forward voluntarily, in a timely manner, to correct their errors. IRAS is prepared to reduce penalties for voluntary disclosures which meet the qualifying conditions."
Individual Income Tax,Individual Tax Payer,Individual Income Tax Compliance,"Individual income tax compliance involves the accurate reporting of personal income by residents in Singapore, timely submission of tax returns, and ensuring payment of any taxes due, in accordance with the Income Tax Act and relevant regulations."
Individual Income Tax,Individual Tax Payer,"Individual Income Tax Bill, Payment, and Refund","The assessment of individual tax liabilities, the process of paying the owed taxes, and the procedures for claiming refunds for overpaid amounts, all governed by Singapore's Income Tax Act and related regulations."
Individual Income Tax,Individual Tax Payer,Personal tax relief,"Deductions available to individual taxpayers in Singapore that reduce their taxable income, often based on personal circumstances such as dependents, education, or contributions to approved schemes, as specified in the Income Tax Act."
Individual Income Tax,Individual Tax Payer,Personal Tax rebate,"A reduction in the amount of income tax payable by individuals in Singapore, typically granted as a percentage of tax owed, aimed at providing tax relief under specific conditions set by the government."
Individual Income Tax,Individual Tax Payer,Taxability for Employment Income,"Assessment of employment income's taxability includes identifying various types of compensation such as salaries, bonuses, and allowances, and determining their treatment under the Income Tax Act in Singapore."
Individual Income Tax,Individual Tax Payer,Tax Residency of Individuals,"Identification of an individual's tax residency status involves evaluating the duration of physical presence in Singapore, typically requiring at least 183 days in a calendar year, to determine applicable tax obligations under the Income Tax Act."
Individual Income Tax,Individual Tax Payer,Individual Income Tax Rate,"Individual income tax rates involves a progressive tax structure where rates increase with higher income levels, as outlined in Singapore's Income Tax Act, determining the tax liability based on an individual's assessable income."
Individual Income Tax,Individual Tax Payer,Individual Income Tax E-filing,"_In Singapore, individuals file income tax returns electronically through the Inland Revenue Authority of Singapore's (IRAS) myTax Portal using their Singpass or Singpass Foreign user Account (SFA). "
Individual Income Tax,Self-employed and Partnership Taxpayer,Pre-filling of income for self-employed persons,"To simplify tax filing and ease compliance burden, self-employed persons, such as commission agents and private hire car (PHC) drivers, can have their gross income information pre-filled in their Income Tax Returns."
Individual Income Tax,Self-employed and Partnership Taxpayer,Filing responsibilities of self-employed persons,"Obligation of self-employed persons includes maintaining accurate financial records, reporting income, and submitting annual tax returns to the Inland Revenue Authority of Singapore, ensuring compliance with the Income Tax Act."
Individual Income Tax,Self-employed and Partnership Taxpayer,No-Filing Service (NFS) for self-employed persons under the pre-filling of income initiative,"Provision of the No-Filing Service allows eligible self-employed persons to forgo annual tax return submissions when their income is pre-filled by the Inland Revenue Authority of Singapore, simplifying compliance with the Income Tax Act."
Individual Income Tax,Self-employed and Partnership Taxpayer,Withholding Tax for Partnership,"Application of withholding tax on partnership income involves deducting tax at source from certain payments made to non-resident partners, as stipulated in the Income Tax Act, ensuring compliance with tax obligations in Singapore."
Individual Income Tax,Self-employed and Partnership Taxpayer,Responsibilities of precedent partners,"Overseeing partnership tax compliance, ensuring accurate reporting of partnership income, and fulfilling obligations under the Income Tax Act, particularly regarding tax filings and payments on behalf of the partnership."
Individual Income Tax,Self-employed and Partnership Taxpayer,Tax obligations of partnerships closing down (striking-off/de-registering),"Partnerships must pay outstanding taxes and fulfil all tax obligations as part of the process of striking-off or de-registering, including settling outstanding tax liabilities, submitting final tax returns, and ensuring compliance with the Income Tax Act before striking off or deregistering the partnership with the relevant authorities."
Individual Income Tax,Non-resident Taxpayer,Non-resident professionals Tax Obligation,"Requirement for non-resident professionals includes paying tax on income earned in Singapore, typically through withholding tax, and ensuring compliance with the Income Tax Act regarding income reporting and tax payments."
Individual Income Tax,Non-resident Taxpayer,Non-resident public entertainer,"For artistes, musicians and sportsmen who are in Singapore for competitions, events"
Individual Income Tax,Non-resident Taxpayer,Foreigners with property in Singapore,Tax obligation for foreigners with property in Singapore include reporting rental income and claim rental expenses
Individual Income Tax,Non-resident Taxpayer,Foreigners doing business in Singapore,"Tax obligation for foreigners doing business in Singapore include sole-proprietorship, partnership, trade, business, vocation or profession"
Individual Income Tax,Non-resident Taxpayer,Foreign Employee,Tax obligation for foreigners working in Singapore include tax filing (for employees & company/ board directors)
Individual Income Tax,Non-resident Taxpayer,Foreigners with side and personal income,"Obligation for foreigners with side and personal income involves reporting such income earned in Singapore and ensuring compliance with the Income Tax Act, including potential tax liabilities on this income."
Individual Income Tax,Employer Practices under Individual Income Tax,"Reporting Employee Earnings (IR8A, Appendix 8A, Appendix 8B, IR8S)","Requirement to report employee earnings involves submitting forms such as IR8A, Appendix 8A, Appendix 8B, and IR8S to the Inland Revenue Authority of Singapore, detailing remuneration, benefits, and allowances for tax assessment under the Income Tax Act."
Individual Income Tax,Employer Practices under Individual Income Tax,Understanding the Tax Treatment,"How various types of income, expenses, and transactions are assessed and taxed under the Income Tax Act, including applicable rates, deductions, and exemptions, to ensure accurate tax compliance and reporting."
Individual Income Tax,Employer Practices under Individual Income Tax,Auto Inclusion Scheme (AIS) for Employment Income,"A framework requiring employers to automatically report their employees' income to the Inland Revenue Authority of Singapore through specific forms, facilitating streamlined tax assessment and compliance for employment income under the Income Tax Act."
Individual Income Tax,Employer Practices under Individual Income Tax,Retrenchment benefits,Retrenchment benefits are payments made to employees when their employment is terminated prematurely by employers.
Individual Income Tax,Employer Practices under Individual Income Tax,Retirement benefits,Retirement benefits are received by employees when they have reached their retirement age.
Individual Income Tax,Employer Practices under Individual Income Tax,Lump Sum Payments,"Tax treatment of lump sum payments given to employees including death gratuities, gratuities for X years of service, retrenchment payments and retirement benefits."
